"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","intensity","laser_id","pitch","yaw","distance_m","Point_X","Point_Y","Point_Z"
0.0,0.0,0.0,1.0,0.0,-327.68,-327.68,0.0,0.0,0.0,0.0
4.669382572174072,3.593312978744507,1.306213021278381,40.0,1.0,12.5,37.58,6.035,4.669382701549047,3.593312900643566,1.306213070116451
5.922056198120117,1.365037202835083,1.370702624320984,58.0,2.0,12.71,12.98,6.23,5.922056059396758,1.365037176663198,1.370702570103927
5.970330238342285,-1.224446892738342,1.138370990753174,97.0,3.0,10.58,-11.59,6.2,5.970330079175457,-1.224446874853673,1.138371027544996
4.175787925720215,-2.978560447692871,0.5626482963562012,65.0,4.0,6.26,-35.5,5.16,4.175787842831845,-2.978560521300545,0.562648302767902
0.0,0.0,0.0,1.0,0.0,-327.68,-327.68,0.0,0.0,0.0,0.0
4.708239555358887,3.598419189453125,1.314822793006897,40.0,1.0,12.51,37.39,6.07,4.708239683571967,3.598419131622851,1.314822739082649
5.916806221008301,1.341007828712463,1.371679186820984,58.0,2.0,12.74,12.77,6.22,5.916806084960629,1.341007803739812,1.371679198384882
5.974643707275391,-1.248168110847473,1.144468545913696,98.0,3.0,10.62,-11.8,6.21,5.974643768050517,-1.248168113224319,1.14446852557209
4.139631271362305,-2.976818561553955,0.5647168755531311,66.0,4.0,6.32,-35.72,5.13,4.139631221044523,-2.976818470213284,0.564716875213132
0.0,0.0,0.0,1.0,0.0,-327.68,-327.68,0.0,0.0,0.0,0.0
4.74491548538208,3.598976850509644,1.320281624794006,40.0,1.0,12.5,37.18,6.100000000000001,4.744915337951033,3.598976912053467,1.320281645022428
5.916457653045654,1.319232702255249,1.371634602546692,59.0,2.0,12.75,12.57,6.215,5.916457452502502,1.319232674785208,1.371634558658629
5.97424840927124,-1.270955562591553,1.148588299751282,97.0,3.0,10.65,-12.01,6.215,5.97424824263374,-1.270955518108513,1.148588266689674
4.096182346343994,-2.968411445617676,0.5638453960418701,80.0,4.0,6.36,-35.93,5.09,4.096182549832125,-2.968411511799781,0.5638453822328635
0.0,0.0,0.0,1.0,0.0,-327.68,-327.68,0.0,0.0,0.0,0.0
